user_id,age,income,transaction_type,transaction_amount,due_date,payment_made_on_time,credit_score,debt_to_income_ratio,savings,financial_score
5e994b86-cc2a-493c-a28a-cf713155db33,29,87191.05,Shopping,833.11,2024-09-02,False,394.07,0.26,5416.43,171.035
c684bb59-6dea-4b9e-8c1f-30f1f205102f,56,21433.23,Utilities,924.33,2024-04-07,False,652.19,0.27,17384.94,299.095
a6a043ca-47de-49d8-bd81-101087955fcb,39,46125.24,Travel,737.95,2024-09-01,True,834.83,0.3,14059.28,804.83
0973db8d-ac65-4716-8741-09c1b0813beb,37,25442.17,Dining,2475.29,2025-02-12,False,788.72,0.46,26659.07,348.36
ea78c4b1-17ab-4403-bb5b-3531988c38e8,67,84890.77,Travel,1915.66,2024-12-16,False,513.57,0.18,43014.7,238.78500000000003
78cb688b-9b02-41a9-882f-1c9934b3a3b0,49,128019.46,Rent,871.61,2025-01-25,True,818.58,0.57,3712.03,761.58
ebef6bee-bd1b-4726-9b14-6aea23249f42,44,97448.49,Travel,1244.69,2024-09-20,True,548.53,0.13,4101.07,535.53
6d4d9d93-541b-4986-a5e2-e5dcc4e98bf1,65,50413.2,Rent,2478.1,2024-07-25,True,601.64,0.23,39193.02,578.64
5fdf4f00-d8d3-497f-bc74-bc0c574b5ab6,47,64449.95,Shopping,2992.75,2025-02-18,True,417.65,0.36,29256.11,381.65
44bf91c7-5601-4b12-a7ff-312988288cca,28,44625.28,Dining,3486.21,2024-11-11,False,641.83,0.26,653.91,294.915
d4c05d16-d1ae-4783-866b-c3edae354e79,33,38661.93,Shopping,3929.55,2025-01-09,True,735.73,0.59,38162.38,676.73
72274c8f-e3f3-47fc-99d4-803a856f470c,25,29087.19,Rent,2886.66,2024-03-18,False,403.16,0.42,9634.47,159.58
8bad7850-dc8a-45d9-b91f-4ffaeecc14c6,67,107076.14,Dining,1533.63,2024-12-31,False,358.36,0.56,11048.17,123.18
f562e033-c419-49b2-8f68-009049f6f603,54,84870.24,Utilities,925.83,2024-09-10,False,380.65,0.21,32265.25,169.325
6ee03bd8-2b98-49cc-811f-396bdcbf139f,39,32890.13,Rent,2289.69,2024-10-14,False,568.43,0.12,18564.72,272.215
246774b8-d186-47de-aeec-baf9a409fd9b,36,101187.07,Rent,4879.97,2024-08-31,True,759.5,0.18,48112.81,741.5
6267c3c1-3b53-4a4a-83b4-b60df1828d32,65,101588.24,Rent,1896.08,2024-03-09,True,537.91,0.26,45145.04,511.90999999999997
0f012163-1a10-4396-b773-803c9c49519d,56,97694.79,Groceries,700.6,2024-05-30,True,386.82,0.12,24171.27,374.82
d34788b0-e649-4779-ae8c-7f7e4ed9230a,57,28463.23,Shopping,4193.42,2025-01-02,False,572.62,0.45,48858.12,241.31
52834571-d67e-4b8d-8d76-bd9d9d208672,62,82414.28,Travel,2094.25,2024-05-19,False,417.29,0.42,33343.53,166.645
98dd87dd-f264-4915-96a2-facaa7d3241a,65,112239.83,Utilities,4544.51,2024-06-19,True,616.43,0.49,21635.09,567.43
1bf0d879-e834-4bf5-a08e-c7f32a78d9a9,57,36235.19,Shopping,1602.43,2024-05-05,True,524.87,0.59,48673.05,465.87
6c81643b-42ca-4171-88d9-6861de8d933e,27,39026.09,Dining,4778.48,2025-02-08,False,665.37,0.54,42990.21,278.685
560dd55d-6734-499b-9349-48952eb4c75c,54,134573.09,Rent,2044.26,2024-09-25,True,335.32,0.19,48914.44,316.32
8f91fc67-52cc-4409-ad21-f9caa072fcc3,31,107939.82,Groceries,3752.54,2024-07-09,False,339.93,0.18,10979.3,151.965
661e6770-6b32-4d1d-9ea4-63682b7c4c5f,26,34353.13,Dining,1802.84,2024-05-14,False,364.9,0.25,28109.35,157.45
5e4d37a2-34a6-47d4-aff8-9861476d8d4d,58,29927.29,Rent,2851.39,2024-10-13,True,313.54,0.58,26519.8,255.54000000000002
14d4bc8d-606c-4031-99ef-6786507499c2,66,124566.03,Shopping,3751.32,2024-11-07,False,476.3,0.27,27404.5,211.15
00e5cadd-377a-4408-894a-5ea99c00bbc3,62,72493.7,Groceries,300.74,2024-12-03,False,472.78,0.28,14218.24,208.39
c38dffcd-ad4f-45fa-aac0-bb15543f22ea,63,132892.99,Travel,4658.13,2024-12-08,True,367.29,0.44,39084.91,323.29
0697035d-cdac-43e9-a454-fd8e0896c5fd,60,107686.98,Shopping,1335.96,2024-11-26,False,542.79,0.49,30252.28,222.39499999999998
aed95a4a-3344-418c-b0c6-2b5eb9b41a58,38,79587.93,Groceries,170.84,2024-12-31,False,721.44,0.38,10873.72,322.72
90cb758f-573d-42a4-8329-282b42821e5c,35,42716.05,Rent,3133.27,2024-08-30,False,387.83,0.26,19950.24,167.915
30d9bbb0-8d7d-4e2b-8d4f-5f48cec1a19f,36,110833.93,Groceries,1618.37,2024-06-19,False,323.16,0.55,34517.58,106.58000000000001
95a9856a-8223-4010-a5f7-b60edf6d5976,43,76406.09,Shopping,1640.15,2025-02-25,True,779.36,0.56,8106.98,723.36
ce2c10e7-47b9-4841-8ec2-ff5cf0ff5d22,32,32773.64,Rent,3363.6,2024-04-06,True,425.04,0.38,34007.09,387.04
fa42e70d-caa1-49a6-a47e-9e1828d615c0,70,63693.89,Dining,3282.35,2024-10-10,False,826.55,0.47,20585.09,366.275
da802249-9412-4824-b7ec-8e98d4e3e0a7,31,128496.02,Dining,1733.92,2024-10-31,False,354.46,0.18,3477.93,159.23
d6b1c9a2-9cd4-40eb-b744-3c701feccc69,21,94774.65,Groceries,2642.05,2024-04-11,False,438.15,0.15,25409.69,204.075
cc725dbf-fe5f-4a07-b4d5-15546a210f84,53,126254.84,Rent,2862.52,2024-11-28,False,753.75,0.55,35212.6,321.875
a8d7808d-d638-4d6f-8803-91650085417a,26,113441.38,Groceries,3229.66,2024-10-30,False,691.73,0.44,28896.6,301.865
50af533c-1590-41cd-8bc3-d315b7cb1919,55,97216.69,Utilities,1762.39,2024-10-30,False,789.94,0.48,18002.46,346.97
4fb9389e-ac91-42a8-8947-691e9550ab6a,56,104530.68,Utilities,3857.9,2024-04-23,False,623.38,0.16,4825.02,295.69
91866e28-f0c4-4d93-8b50-8a042a14b575,48,29629.11,Rent,1572.97,2024-10-04,True,727.73,0.4,22334.39,687.73
617800c1-2ef4-497d-82e9-02ca54d924ab,53,83777.89,Rent,4871.53,2025-01-19,False,783.74,0.38,32669.79,353.87
4b7b0f38-9117-45ad-a9f0-cd51b8d12a3a,33,122213.67,Rent,1755.11,2024-11-03,True,686.27,0.53,4083.79,633.27
1362ed79-7264-4987-8ba4-7baee4687cc1,21,54025.21,Dining,2361.82,2024-05-19,False,530.28,0.21,1870.21,244.14
45f84092-c340-4bb9-9b9c-462fbd2aa8a4,19,23790.68,Utilities,2514.42,2024-03-16,False,617.22,0.47,48218.75,261.61
a10a1283-2316-44e0-8532-e78c97d9fab6,58,64314.87,Shopping,1113.59,2024-05-18,False,817.51,0.28,38711.3,380.755
f8fd9769-1231-4d1a-b8b7-9771f6c38f0a,23,110252.26,Rent,4910.47,2025-01-30,False,499.56,0.59,1611.83,190.78
5ce6ce80-f283-4e2c-baa3-dd0492efe527,22,97786.39,Shopping,3769.59,2024-07-13,False,330.37,0.36,48396.47,129.185
0be5a6e3-a696-42a1-b3df-3fe51efa06e1,30,103465.96,Rent,4112.93,2025-02-06,False,358.94,0.34,40196.41,145.47
a256c5b7-7daf-4b5f-b623-d50c54e20896,35,20851.1,Dining,1508.48,2024-05-11,True,681.07,0.45,31263.5,636.07
fcd68787-0cef-450b-96aa-21064c564d52,41,96940.39,Rent,3281.64,2024-04-09,False,598.43,0.59,24074.32,240.21499999999997
c74c1459-685b-4068-862f-5a606a402638,48,139899.29,Dining,4826.96,2024-10-13,True,321.75,0.46,5930.37,275.75
bcf224a8-537a-4be1-af1a-5e37f4d78414,29,106798.53,Utilities,1390.56,2025-01-16,True,677.99,0.1,24191.81,667.99
0f0ab14a-b99d-4e33-86ab-b429552f07f8,32,97327.32,Travel,383.79,2024-12-13,False,845.01,0.35,12775.94,387.505
8ec16e37-f83a-444c-af4a-f0080d5042ef,54,132153.58,Rent,3384.4,2025-02-09,True,389.11,0.43,41007.05,346.11
